Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Finland,2011,Female,2.13 [2.01-2.25]
Finland,2010,Both sexes,2.47 [2.35-2.58]
Finland,2010,Male,2.69 [2.55-2.83]
Finland,2010,Female,2.23 [2.11-2.35]
Finland,2009,Both sexes,2.59 [2.47-2.71]
Finland,2009,Male,2.82 [2.68-2.97]
Finland,2009,Female,2.34 [2.22-2.46]
Finland,2008,Both sexes,2.71 [2.59-2.84]
Finland,2008,Male,2.97 [2.82-3.12]
Finland,2008,Female,2.45 [2.32-2.58]
Finland,2007,Both sexes,2.84 [2.72-2.97]
Finland,2007,Male,3.11 [2.96-3.26]
Finland,2007,Female,2.56 [2.43-2.7]
Finland,2006,Both sexes,2.96 [2.84-3.1]
Finland,2006,Male,3.24 [3.09-3.41]
Finland,2006,Female,2.67 [2.54-2.81]
Finland,2005,Both sexes,3.07 [2.94-3.22]
Finland,2005,Male,3.37 [3.21-3.54]
Finland,2005,Female,2.77 [2.63-2.92]
Finland,2004,Both sexes,3.17 [3.04-3.31]
Finland,2004,Male,3.48 [3.32-3.65]
Finland,2004,Female,2.85 [2.71-3]
Finland,2003,Both sexes,3.25 [3.12-3.4]
Finland,2003,Male,3.57 [3.41-3.74]
Finland,2003,Female,2.93 [2.79-3.08]
Finland,2002,Both sexes,3.34 [3.2-3.48]
Finland,2002,Male,3.66 [3.49-3.83]
Finland,2002,Female,3 [2.86-3.15]
Finland,2001,Both sexes,3.42 [3.28-3.56]
Finland,2001,Male,3.75 [3.59-3.92]
Finland,2001,Female,3.07 [2.93-3.23]
Finland,2000,Both sexes,3.51 [3.37-3.66]
Finland,2000,Male,3.85 [3.68-4.03]
Finland,2000,Female,3.16 [3.01-3.31]
Finland,1999,Both sexes,3.62 [3.47-3.77]
Finland,1999,Male,3.97 [3.79-4.15]
Finland,1999,Female,3.26 [3.1-3.41]
Finland,1998,Both sexes,3.75 [3.59-3.9]
Finland,1998,Male,4.1 [3.92-4.29]
Finland,1998,Female,3.37 [3.21-3.53]
Finland,1997,Both sexes,3.89 [3.73-4.05]
